soil_type,temperature,humidity,rainfall,crop
sandy,23.17,67.37,1636.74,Banana
loamy,29.51,76.72,1407.44,Banana
clay,14.34,68.12,972.06,Potato
loamy,10.81,57.59,660.69,Potato
black,18.57,56.65,799.65,Potato
loamy,11.67,76.24,820.9,Potato
loamy,16.95,65.4,710.33,Potato
sandy,12.34,58.81,868.67,Potato
sandy,20.26,58.54,939.94,Potato
sandy,21.3,63.16,438.32,Potato
alluvial,18.79,69.88,706.47,Potato
clay,16.99,72.01,620.61,Potato
sandy,20.83,61.83,537.06,Mustard
clay,13.2,50.26,222.02,Mustard
clay,13.42,49.15,391.49,Mustard
loamy,12.51,63.81,217.68,Mustard
black,13.14,42.45,657.93,Mustard
sandy,13.8,37.34,386.4,Mustard
alluvial,19.43,36.58,311.59,Mustard
alluvial,23.74,63.62,234.46,Mustard
black,22.12,58.21,355.35,Mustard
clay,17.74,35.24,300.34,Mustard
alluvial,28.98,77.19,669.81,Soybean
sandy,26.28,69.8,1040.83,Soybean
loamy,28.25,71.4,1057.18,Soybean
loamy,18.09,67.3,663.1,Soybean
sandy,26.9,75.8,506.72,Soybean
sandy,18.02,74.72,1094.3,Soybean
sandy,19.46,70.89,666.72,Soybean
black,31.46,84.18,599.66,Soybean
sandy,19.3,82.64,1128.1,Soybean
alluvial,23.78,81.87,820.92,Soybean
