date,crop,demand_tons,price_per_quintal
2024-02,Jowar,2762,2139
2024-03,Jowar,2680,2227
2024-04,Jowar,2307,2859
2024-05,Jowar,2410,2086
2024-06,Jowar,2745,2763
2024-07,Jowar,2747,2803
2024-08,Jowar,2403,2694
2024-09,Jowar,2224,2767
2024-10,Jowar,2287,2015
2024-11,Jowar,2661,2042
2024-12,Jowar,2222,2863
2025-01,Jowar,2804,2148
2025-02,Jowar,2847,2859
2025-03,Jowar,2875,2251
2025-04,Jowar,2369,2847
2025-05,Jowar,2387,2960
2025-06,Jowar,2458,2645
2025-07,Jowar,2168,2070
2025-08,Jowar,2312,2655
2025-09,Jowar,2446,2522
2025-10,Jowar,2291,2480
2025-11,Jowar,2414,2392
2025-12,Jowar,2737,2156
2021-01,Bajra,1754,1200
2021-02,Bajra,1816,1876
2021-03,Bajra,1834,1296
2021-04,Bajra,2265,1684
2021-05,Bajra,2204,1050
2021-06,Bajra,1761,1085
2021-07,Bajra,1819,1244
2021-08,Bajra,2132,1210
2021-09,Bajra,1572,1315
2021-10,Bajra,2166,1208
2021-11,Bajra,1832,1803
2021-12,Bajra,1857,1851
2022-01,Bajra,2086,1427
2022-02,Bajra,1985,1941
2022-03,Bajra,2327,1237
2022-04,Bajra,2325,1978
2022-05,Bajra,2178,1765
2022-06,Bajra,2249,1550
2022-07,Bajra,2154,1204
2022-08,Bajra,1744,1651
2022-09,Bajra,1769,1596
2022-10,Bajra,1761,1851
2022-11,Bajra,1759,1578
2022-12,Bajra,2142,1398
2023-01,Bajra,2304,1991
2023-02,Bajra,1932,1548
2023-03,Bajra,2332,1162
2023-04,Bajra,2127,1399
2023-05,Bajra,1909,1262
2023-06,Bajra,1697,1242
2023-07,Bajra,2043,972
2023-08,Bajra,1951,1246
2023-09,Bajra,1639,1665
2023-10,Bajra,2108,1584
2023-11,Bajra,1760,979
2023-12,Bajra,2048,1078
2024-01,Bajra,2076,1849
2024-02,Bajra,1831,1539
2024-03,Bajra,2330,1492
2024-04,Bajra,2298,1256
2024-05,Bajra,1961,1110
2024-06,Bajra,1832,1735
2024-07,Bajra,1899,1739
2024-08,Bajra,2001,1465
2024-09,Bajra,2132,1045
2024-10,Bajra,2164,1307
2024-11,Bajra,1650,1682
2024-12,Bajra,2146,1979
2025-01,Bajra,1973,1231
2025-02,Bajra,2137,1370
2025-03,Bajra,2185,1865
2025-04,Bajra,2341,1857
2025-05,Bajra,1913,1567
2025-06,Bajra,2218,1210
2025-07,Bajra,1936,1170
2025-08,Bajra,1936,1773
2025-09,Bajra,1872,1094
2025-10,Bajra,1797,1174
2025-11,Bajra,2028,1220
2025-12,Bajra,1673,1338
2021-01,Ragi,1803,2559
2021-02,Ragi,1851,2087
2021-03,Ragi,1698,2035
2021-04,Ragi,1644,2073
2021-05,Ragi,1462,2464
2021-06,Ragi,1757,1875
2021-07,Ragi,1181,2184
2021-08,Ragi,1186,2500
2021-09,Ragi,1464,2135
2021-10,Ragi,1603,1705
2021-11,Ragi,1439,1957
2021-12,Ragi,1356,2007
2022-01,Ragi,1563,2402
2022-02,Ragi,1515,2424
2022-03,Ragi,1822,2862
2022-04,Ragi,1403,2668
2022-05,Ragi,1849,2257
2022-06,Ragi,1565,1874
2022-07,Ragi,1286,2416
2022-08,Ragi,1604,2028
2022-09,Ragi,1262,1879
2022-10,Ragi,1340,2201
2022-11,Ragi,1335,1838
2022-12,Ragi,1632,2540
2023-01,Ragi,1676,1997
2023-02,Ragi,1514,2360
2023-03,Ragi,1745,2366
2023-04,Ragi,1364,2846
2023-05,Ragi,1737,2238
2023-06,Ragi,1435,2072
2023-07,Ragi,1509,1833
2023-08,Ragi,1506,2430
2023-09,Ragi,1657,2507
2023-10,Ragi,1292,1966
2023-11,Ragi,1212,2310
2023-12,Ragi,1412,1791
2024-01,Ragi,1855,1947
2024-02,Ragi,1373,2460
2024-03,Ragi,1437,2863
2024-04,Ragi,1329,1964
2024-05,Ragi,1784,1865
2024-06,Ragi,1385,2414
2024-07,Ragi,1318,2517
2024-08,Ragi,1230,1831
2024-09,Ragi,1483,2331
2024-10,Ragi,1521,2399
2024-11,Ragi,1491,2203
2024-12,Ragi,1625,2294
2025-01,Ragi,1638,2361
2025-02,Ragi,1810,1997
2025-03,Ragi,1549,2026
2025-04,Ragi,1604,1896
2025-05,Ragi,1331,2528
2025-06,Ragi,1763,2673
2025-07,Ragi,1606,2602
2025-08,Ragi,1334,2540
2025-09,Ragi,1302,1675
2025-10,Ragi,1126,2365
2025-11,Ragi,1360,2222
2025-12,Ragi,1402,2286
2021-01,Turmeric,2197,3351
2021-02,Turmeric,2274,3280
2021-03,Turmeric,2548,3540
2021-04,Turmeric,2229,3798
2021-05,Turmeric,2460,3489
2021-06,Turmeric,2117,3030
2021-07,Turmeric,1859,3550
2021-08,Turmeric,2402,2782
2021-09,Turmeric,2137,3635
2021-10,Turmeric,2373,3164
2021-11,Turmeric,2048,3132
2021-12,Turmeric,2059,2796
2022-01,Turmeric,2546,3123
2022-02,Turmeric,2513,3395
2022-03,Turmeric,2289,3506
2022-04,Turmeric,2078,3059
2022-05,Turmeric,2117,3138
2022-06,Turmeric,2283,3111
2022-07,Turmeric,2046,3670
2022-08,Turmeric,1953,3232
2022-09,Turmeric,1916,3339
2022-10,Turmeric,1919,3117
2022-11,Turmeric,2431,3648
2022-12,Turmeric,2309,3563
2023-01,Turmeric,2087,2851
2023-02,Turmeric,2242,3865
2023-03,Turmeric,2266,2913
2023-04,Turmeric,2538,2924
2023-05,Turmeric,2261,3462
2023-06,Turmeric,2344,3332
2023-07,Turmeric,2063,3619
2023-08,Turmeric,1905,3428
2023-09,Turmeric,2219,3381
2023-10,Turmeric,1949,3351
2023-11,Turmeric,2023,3493
2023-12,Turmeric,2416,3621
2024-01,Turmeric,2545,3138
2024-02,Turmeric,2569,2909
2024-03,Turmeric,2488,3399
2024-04,Turmeric,2133,3188
2024-05,Turmeric,2458,3077
2024-06,Turmeric,2416,3034
2024-07,Turmeric,2335,2776
2024-08,Turmeric,2392,3384
2024-09,Turmeric,1847,3027
2024-10,Turmeric,2324,3054
2024-11,Turmeric,2079,2885
2024-12,Turmeric,2270,3605
2025-01,Turmeric,2507,3676
2025-02,Turmeric,2051,3031
2025-03,Turmeric,2502,3283
2025-04,Turmeric,2145,3356
2025-05,Turmeric,2309,3518
2025-06,Turmeric,2338,2948
2025-07,Turmeric,2062,3387
2025-08,Turmeric,2307,2730
2025-09,Turmeric,2192,3620
2025-10,Turmeric,2148,2921
2025-11,Turmeric,2305,2802
2025-12,Turmeric,2413,2959
2021-01,Potato,2448,1506
2021-02,Potato,2106,1140
2021-03,Potato,2569,1504
2021-04,Potato,2069,1895
2021-05,Potato,2284,1213
2021-06,Potato,2243,1970
2021-07,Potato,2200,1835
2021-08,Potato,1915,1304
2021-09,Potato,2216,1035
2021-10,Potato,2215,1675
2021-11,Potato,2499,1950
2021-12,Potato,2121,1540
2022-01,Potato,2592,1120
2022-02,Potato,2223,1482
2022-03,Potato,2295,2058
2022-04,Potato,2269,1759
2022-05,Potato,2379,1433
2022-06,Potato,2120,1830
2022-07,Potato,2509,1784
2022-08,Potato,2212,1083
2022-09,Potato,2340,1271
2022-10,Potato,2403,1820
2022-11,Potato,1984,1141
2022-12,Potato,2381,1559
2023-01,Potato,2569,1954
2023-02,Potato,2600,1693
2023-03,Potato,2441,1132
2023-04,Potato,2260,1520
2023-05,Potato,2142,1172
2023-06,Potato,2200,1265
2023-07,Potato,1978,1511
2023-08,Potato,1900,1045
2023-09,Potato,1878,1647
2023-10,Potato,2029,1447
2023-11,Potato,2366,1801
2023-12,Potato,2236,1453
2024-01,Potato,2166,1234
2024-02,Potato,2177,1209
2024-03,Potato,2573,1899
2024-04,Potato,2418,1573
2024-05,Potato,2393,1248
2024-06,Potato,2555,1239
2024-07,Potato,2462,1744
2024-08,Potato,2313,939
2024-09,Potato,1978,1571
2024-10,Potato,2297,974
2024-11,Potato,1976,1357
2024-12,Potato,2119,1369
2025-01,Potato,2436,1106
2025-02,Potato,2222,1643
2025-03,Potato,2621,1909
2025-04,Potato,2656,1277
2025-05,Potato,2148,1744
2025-06,Potato,2491,1522
2025-07,Potato,2141,1235
2025-08,Potato,2335,1859
2025-09,Potato,1934,1397
2025-10,Potato,2046,1389
2025-11,Potato,2470,1556
2025-12,Potato,2255,1611
2021-01,Onion,786,3063
2021-02,Onion,655,2309
2021-03,Onion,544,2546
2021-04,Onion,1058,2977
2021-05,Onion,974,2689
2021-06,Onion,532,2259
2021-07,Onion,829,2591
2021-08,Onion,916,2218
2021-09,Onion,409,2373
2021-10,Onion,654,2685
2021-11,Onion,427,2063
2021-12,Onion,694,2988
2022-01,Onion,890,3060
2022-02,Onion,752,2560
2022-03,Onion,962,2298
2022-04,Onion,859,2407
2022-05,Onion,915,2380
2022-06,Onion,547,2837
2022-07,Onion,715,2944
2022-08,Onion,666,2483
2022-09,Onion,749,2751
2022-10,Onion,896,2394
2022-11,Onion,985,2689
2022-12,Onion,864,2570
2023-01,Onion,840,3039
2023-02,Onion,835,2570
2023-03,Onion,1112,2424
2023-04,Onion,547,2854
2023-05,Onion,575,2500
2023-06,Onion,958,2836
2023-07,Onion,406,2651
2023-08,Onion,351,2715
2023-09,Onion,800,2890
2023-10,Onion,919,2092
2023-11,Onion,819,2557
2023-12,Onion,491,2492
2024-01,Onion,904,2885
2024-02,Onion,814,2195
2024-03,Onion,669,2565
2024-04,Onion,803,2380
2024-05,Onion,611,2630
2024-06,Onion,480,2399
2024-07,Onion,785,2244
2024-08,Onion,685,2619
2024-09,Onion,773,2720
2024-10,Onion,828,2868
2024-11,Onion,440,2064
2024-12,Onion,843,2080
2025-01,Onion,492,2270
2025-02,Onion,983,2178
2025-03,Onion,1095,3070
2025-04,Onion,1115,2428
2025-05,Onion,783,2226
2025-06,Onion,573,2468
2025-07,Onion,904,2910
2025-08,Onion,831,1968
2025-09,Onion,716,2379
2025-10,Onion,737,2417
2025-11,Onion,898,2056
2025-12,Onion,487,2349
2021-01,Tomato,1149,2772
2021-02,Tomato,803,2035
2021-03,Tomato,1206,2798
2021-04,Tomato,1033,2355
2021-05,Tomato,1096,2571
2021-06,Tomato,909,2530
2021-07,Tomato,524,1872
2021-08,Tomato,451,2249
2021-09,Tomato,549,2506
2021-10,Tomato,868,2280
2021-11,Tomato,664,2808
2021-12,Tomato,931,2397
2022-01,Tomato,708,2096
2022-02,Tomato,1075,2102
2022-03,Tomato,825,2708
2022-04,Tomato,668,2979
2022-05,Tomato,693,2748
2022-06,Tomato,874,2074
2022-07,Tomato,536,2089
2022-08,Tomato,824,2428
2022-09,Tomato,733,2218
2022-10,Tomato,489,2191
2022-11,Tomato,689,2763
2022-12,Tomato,729,2415
2023-01,Tomato,579,2784
2023-02,Tomato,1016,2620
2023-03,Tomato,1081,2639
2023-04,Tomato,768,2145
2023-05,Tomato,1083,2204
2023-06,Tomato,692,2406
2023-07,Tomato,1033,1866
2023-08,Tomato,912,2346
2023-09,Tomato,550,2124
2023-10,Tomato,764,2792
2023-11,Tomato,843,1866
2023-12,Tomato,1011,2602
2024-01,Tomato,769,2215
2024-02,Tomato,1089,2293
2024-03,Tomato,1119,2474
2024-04,Tomato,930,2955
2024-05,Tomato,577,2652
2024-06,Tomato,804,2209
2024-07,Tomato,647,2766
2024-08,Tomato,684,2610
2024-09,Tomato,539,2471
2024-10,Tomato,746,2335
2024-11,Tomato,564,2707
2024-12,Tomato,734,2024
2025-01,Tomato,815,2035
2025-02,Tomato,1192,2477
2025-03,Tomato,1139,2415
2025-04,Tomato,1176,2219
2025-05,Tomato,842,2070
2025-06,Tomato,786,2323
2025-07,Tomato,792,2763
2025-08,Tomato,723,2157
2025-09,Tomato,659,2651
2025-10,Tomato,556,2679
2025-11,Tomato,813,1889
2025-12,Tomato,736,2423
2021-01,Brinjal,926,2138
2021-02,Brinjal,851,2718
2021-03,Brinjal,890,2274
2021-04,Brinjal,780,2770
2021-05,Brinjal,840,2635
2021-06,Brinjal,1000,2443
2021-07,Brinjal,896,1901
2021-08,Brinjal,717,1886
2021-09,Brinjal,667,2594
2021-10,Brinjal,637,2063
2021-11,Brinjal,792,2600
2021-12,Brinjal,913,1952
2022-01,Brinjal,840,2103
2022-02,Brinjal,900,1904
2022-03,Brinjal,1120,2872
2022-04,Brinjal,852,2581
2022-05,Brinjal,801,1937
2022-06,Brinjal,736,1975
2022-07,Brinjal,761,1889
2022-08,Brinjal,717,1835
2022-09,Brinjal,1132,1823
2022-10,Brinjal,816,2714
2022-11,Brinjal,697,2597
2022-12,Brinjal,1079,2074
2023-01,Brinjal,1294,2082
2023-02,Brinjal,1291,2351
2023-03,Brinjal,1349,2592
2023-04,Brinjal,888,2323
2023-05,Brinjal,1122,2395
2023-06,Brinjal,801,2154
2023-07,Brinjal,678,1918
2023-08,Brinjal,778,1922
2023-09,Brinjal,778,2539
2023-10,Brinjal,907,2341
2023-11,Brinjal,793,2527
2023-12,Brinjal,955,2234
2024-01,Brinjal,871,2853
2024-02,Brinjal,865,2769
2024-03,Brinjal,1164,2605
2024-04,Brinjal,1244,2357
2024-05,Brinjal,1105,1918
2024-06,Brinjal,945,1991
2024-07,Brinjal,873,2574
2024-08,Brinjal,783,2369
2024-09,Brinjal,1051,2621
2024-10,Brinjal,797,2367
2024-11,Brinjal,833,1881
2024-12,Brinjal,1145,1881
2025-01,Brinjal,1261,2663
2025-02,Brinjal,1341,2645
2025-03,Brinjal,926,2646
2025-04,Brinjal,908,2173
2025-05,Brinjal,1237,1956
2025-06,Brinjal,723,2414
2025-07,Brinjal,1062,2345
2025-08,Brinjal,745,2384
2025-09,Brinjal,898,1785
2025-10,Brinjal,767,2032
2025-11,Brinjal,679,2616
2025-12,Brinjal,879,2366
2021-01,Cabbage,1191,1863
2021-02,Cabbage,897,1604
2021-03,Cabbage,801,1852
2021-04,Cabbage,749,1451
2021-05,Cabbage,808,1438
2021-06,Cabbage,1128,1811
2021-07,Cabbage,1031,1660
2021-08,Cabbage,755,1064
2021-09,Cabbage,856,945
2021-10,Cabbage,580,765
2021-11,Cabbage,1068,1515
2021-12,Cabbage,1097,871
2022-01,Cabbage,877,1726
2022-02,Cabbage,847,1742
2022-03,Cabbage,1044,1844
2022-04,Cabbage,1099,968
2022-05,Cabbage,1144,1510
2022-06,Cabbage,815,888
2022-07,Cabbage,958,1726
2022-08,Cabbage,1087,1121
2022-09,Cabbage,815,1389
2022-10,Cabbage,927,1096
2022-11,Cabbage,667,868
2022-12,Cabbage,746,1334
2023-01,Cabbage,1212,1092
2023-02,Cabbage,1108,1506
2023-03,Cabbage,1125,1338
2023-04,Cabbage,819,1588
2023-05,Cabbage,1165,1339
2023-06,Cabbage,1081,1419
2023-07,Cabbage,673,975
2023-08,Cabbage,1047,1670
2023-09,Cabbage,1118,1562
2023-10,Cabbage,895,1183
2023-11,Cabbage,838,870
2023-12,Cabbage,980,1318
2024-01,Cabbage,806,1520
2024-02,Cabbage,991,1412
2024-03,Cabbage,946,1752
2024-04,Cabbage,904,1566
2024-05,Cabbage,1142,1650
2024-06,Cabbage,1105,949
2024-07,Cabbage,770,854
2024-08,Cabbage,1136,1056
2024-09,Cabbage,759,1520
2024-10,Cabbage,717,1074
2024-11,Cabbage,834,1060
2024-12,Cabbage,709,1519
2025-01,Cabbage,1018,1476
2025-02,Cabbage,1041,1670
2025-03,Cabbage,754,1176
2025-04,Cabbage,1019,1800
2025-05,Cabbage,1173,918
2025-06,Cabbage,763,1053
2025-07,Cabbage,870,910
2025-08,Cabbage,885,1640
2025-09,Cabbage,890,1470
2025-10,Cabbage,809,850
2025-11,Cabbage,954,1283
2025-12,Cabbage,1122,1062
2021-01,Cauliflower,1687,3708
2021-02,Cauliflower,1733,3651
2021-03,Cauliflower,1981,3423
2021-04,Cauliflower,1641,3530
2021-05,Cauliflower,2057,3802
2021-06,Cauliflower,1840,3956
2021-07,Cauliflower,1513,3962
2021-08,Cauliflower,1853,3023
2021-09,Cauliflower,1836,3542
2021-10,Cauliflower,1424,3043
2021-11,Cauliflower,1915,3496
2021-12,Cauliflower,1932,3971
2022-01,Cauliflower,1694,3544
2022-02,Cauliflower,1549,3289
2022-03,Cauliflower,1578,3740
2022-04,Cauliflower,1523,3465
2022-05,Cauliflower,2077,3298
2022-06,Cauliflower,1971,3727
2022-07,Cauliflower,1822,3107
2022-08,Cauliflower,1420,3477
2022-09,Cauliflower,1482,3349
2022-10,Cauliflower,1522,3101
2022-11,Cauliflower,1827,3803
2022-12,Cauliflower,1931,3949
2023-01,Cauliflower,1512,3411
2023-02,Cauliflower,1549,3427
2023-03,Cauliflower,2018,3304
2023-04,Cauliflower,2085,3991
2023-05,Cauliflower,2021,4051
2023-06,Cauliflower,1578,3739
2023-07,Cauliflower,1880,3295
2023-08,Cauliflower,1651,3500
2023-09,Cauliflower,1555,3180
2023-10,Cauliflower,1430,2991
2023-11,Cauliflower,1696,3378
2023-12,Cauliflower,1790,3067
2024-01,Cauliflower,1488,4011
2024-02,Cauliflower,1684,3191
2024-03,Cauliflower,2020,3302
2024-04,Cauliflower,1554,3996
2024-05,Cauliflower,1763,4034
2024-06,Cauliflower,1876,3233
2024-07,Cauliflower,1605,3512
2024-08,Cauliflower,1795,3190
2024-09,Cauliflower,1645,3491
2024-10,Cauliflower,1464,3664
2024-11,Cauliflower,1540,4002
2024-12,Cauliflower,1545,3082
2025-01,Cauliflower,1685,3760
2025-02,Cauliflower,1766,3781
2025-03,Cauliflower,2090,3702
2025-04,Cauliflower,2079,3464
2025-05,Cauliflower,1661,4086
2025-06,Cauliflower,1539,4048
2025-07,Cauliflower,1473,3779
2025-08,Cauliflower,1500,3435
2025-09,Cauliflower,1509,3861
2025-10,Cauliflower,1491,3673
2025-11,Cauliflower,1534,3800
2025-12,Cauliflower,2024,3458
2021-01,Peas,2555,3237
2021-02,Peas,2235,3329
2021-03,Peas,2451,3740
2021-04,Peas,2269,3590
2021-05,Peas,2518,3522
2021-06,Peas,2583,3680
2021-07,Peas,2065,3300
2021-08,Peas,2047,2956
2021-09,Peas,2214,3322
2021-10,Peas,2535,3290
2021-11,Peas,2471,3058
2021-12,Peas,2634,3027
2022-01,Peas,2509,3095
2022-02,Peas,2189,3158
2022-03,Peas,2707,3101
2022-04,Peas,2389,3501
2022-05,Peas,2619,3129
2022-06,Peas,2602,3627
2022-07,Peas,2449,3591
2022-08,Peas,2111,3096
2022-09,Peas,2500,3153
2022-10,Peas,2286,3740
2022-11,Peas,2184,3530
2022-12,Peas,2269,3712
2023-01,Peas,2218,3121
2023-02,Peas,2452,3472
2023-03,Peas,2633,3191
2023-04,Peas,2459,3665
2023-05,Peas,2695,3476
2023-06,Peas,2576,3157
2023-07,Peas,2550,2922
2023-08,Peas,2384,2980
2023-09,Peas,2195,3561
2023-10,Peas,2428,3067
2023-11,Peas,2294,3170
2023-12,Peas,2072,3737
2024-01,Peas,2354,3733
2024-02,Peas,2298,3364
2024-03,Peas,2708,3123
2024-04,Peas,2593,3715
2024-05,Peas,2167,3481
2024-06,Peas,2205,3624
2024-07,Peas,2434,3788
2024-08,Peas,2204,3103
2024-09,Peas,2072,3503
2024-10,Peas,2189,3623
2024-11,Peas,2323,3122
2024-12,Peas,2077,3352
2025-01,Peas,2460,3822
2025-02,Peas,2456,3440
2025-03,Peas,2760,3429
2025-04,Peas,2505,3160
2025-05,Peas,2575,3437
2025-06,Peas,2565,3503
2025-07,Peas,2240,3670
2025-08,Peas,2117,3103
2025-09,Peas,2424,3506
2025-10,Peas,2551,3658
2025-11,Peas,2567,3407
2025-12,Peas,2201,3391
2021-01,Carrot,732,1293
2021-02,Carrot,1146,1484
2021-03,Carrot,778,1364
2021-04,Carrot,808,1471
2021-05,Carrot,987,1351
2021-06,Carrot,991,1530
2021-07,Carrot,960,1706
2021-08,Carrot,670,1714
2021-09,Carrot,973,1392
2021-10,Carrot,490,1716
2021-11,Carrot,675,1646
2021-12,Carrot,869,1977
2022-01,Carrot,827,1638
2022-02,Carrot,1029,1569
2022-03,Carrot,670,1514
2022-04,Carrot,713,1398
2022-05,Carrot,688,2033
2022-06,Carrot,750,2020
2022-07,Carrot,787,1134
2022-08,Carrot,840,1482
2022-09,Carrot,445,1732
2022-10,Carrot,638,1433
2022-11,Carrot,989,1444
2022-12,Carrot,551,2082
2023-01,Carrot,660,1308
2023-02,Carrot,997,1716
2023-03,Carrot,731,1569
2023-04,Carrot,1019,1845
2023-05,Carrot,724,1325
2023-06,Carrot,957,1724
2023-07,Carrot,646,1533
2023-08,Carrot,646,1371
2023-09,Carrot,542,1842
2023-10,Carrot,579,1161
2023-11,Carrot,545,1254
2023-12,Carrot,739,2170
2024-01,Carrot,1091,1640
2024-02,Carrot,622,2000
2024-03,Carrot,888,1692
2024-04,Carrot,1061,2224
2024-05,Carrot,791,2034
2024-06,Carrot,965,1373
2024-07,Carrot,810,1710
2024-08,Carrot,699,1514
2024-09,Carrot,720,2000
2024-10,Carrot,447,1384
2024-11,Carrot,1053,1575
2024-12,Carrot,1101,2084
2025-01,Carrot,995,1627
2025-02,Carrot,910,1333
2025-03,Carrot,864,1828
2025-04,Carrot,606,1323
2025-05,Carrot,631,1830
2025-06,Carrot,690,1656
2025-07,Carrot,684,2005
2025-08,Carrot,876,1755
2025-09,Carrot,859,1652
2025-10,Carrot,744,1480
2025-11,Carrot,1046,1230
2025-12,Carrot,679,2034
