soil_type,season,temperature,humidity,rainfall,crop
black,Kharif,31.77,40.81,55.35,Cotton
black,Kharif,32.9,43.79,43.14,Cotton
black,Kharif,25.54,38.74,73.55,Cotton
black,Kharif,31.05,42.28,63.82,Cotton
black,Kharif,25.3,35.47,79.7,Cotton
black,Kharif,27.28,41.06,55.02,Cotton
black,Kharif,31.8,43.21,43.43,Cotton
black,Kharif,32.98,44.26,43.28,Cotton
black,Kharif,28.8,45.68,46.17,Cotton
black,Kharif,28.17,32.13,40.21,Cotton
black,Kharif,29.45,45.23,44.09,Cotton
black,Kharif,26.87,38.98,62.19,Cotton
black,Kharif,26.03,31.79,62.17,Cotton
black,Kharif,33.64,30.25,56.55,Cotton
black,Kharif,32.25,41.19,79.71,Cotton
black,Kharif,30.72,33.39,55.23,Cotton
black,Kharif,27.69,35.37,45.84,Cotton
black,Kharif,29.35,38.42,59.37,Cotton
black,Kharif,28.61,48.88,68.84,Cotton
black,Kharif,30.94,33.91,44.28,Cotton
black,Kharif,25.07,37.91,73.66,Cotton
black,Kharif,33.04,36.59,53.39,Cotton
black,Kharif,28.0,42.06,67.81,Cotton
black,Kharif,28.14,49.29,78.75,Cotton
black,Kharif,32.35,42.66,78.71,Cotton
black,Kharif,28.26,35.61,71.43,Cotton
black,Kharif,26.14,41.28,63.69,Cotton
black,Kharif,31.82,41.0,78.12,Cotton
black,Kharif,34.43,34.19,71.91,Cotton
black,Kharif,33.19,45.91,56.37,Cotton
black,Kharif,26.39,36.06,50.11,Cotton
black,Kharif,32.15,45.78,42.96,Cotton
black,Kharif,30.82,40.69,76.94,Cotton
black,Kharif,30.44,45.81,54.38,Cotton
black,Kharif,26.09,34.96,66.59,Cotton
black,Kharif,31.47,30.89,79.34,Cotton
black,Kharif,34.67,36.63,71.85,Cotton
black,Kharif,25.11,35.17,60.43,Cotton
black,Kharif,29.46,37.82,70.89,Cotton
black,Kharif,28.45,30.49,44.18,Cotton
black,Kharif,34.21,31.72,73.25,Cotton
black,Kharif,28.48,36.86,71.37,Cotton
black,Kharif,28.48,31.95,68.88,Cotton
black,Kharif,28.19,36.01,72.41,Cotton
black,Kharif,25.23,36.86,44.37,Cotton
black,Kharif,34.3,44.81,60.64,Cotton
black,Kharif,28.31,38.53,58.48,Cotton
black,Kharif,31.3,33.73,66.29,Cotton
black,Kharif,25.29,42.28,47.89,Cotton
black,Kharif,28.89,44.09,48.23,Cotton
black,Kharif,30.77,45.99,61.48,Cotton
black,Kharif,28.26,39.15,50.49,Cotton
loamy,Kharif,29.8,75.98,147.76,Sugarcane
loamy,Kharif,30.46,68.7,167.64,Sugarcane
alluvial,Kharif,32.95,77.65,123.8,Sugarcane
alluvial,Kharif,31.39,67.83,119.09,Sugarcane
alluvial,Kharif,26.01,77.34,140.87,Sugarcane
loamy,Kharif,30.56,74.37,133.84,Sugarcane
loamy,Kharif,30.99,77.34,151.62,Sugarcane
alluvial,Kharif,30.1,72.24,111.22,Sugarcane
loamy,Kharif,33.26,75.49,169.24,Sugarcane
alluvial,Kharif,29.33,64.88,130.72,Sugarcane
loamy,Kharif,28.5,72.29,156.81,Sugarcane
loamy,Kharif,29.38,62.07,102.47,Sugarcane
alluvial,Kharif,27.21,66.87,143.01,Sugarcane
alluvial,Kharif,32.59,74.14,161.8,Sugarcane
loamy,Kharif,30.05,62.83,109.14,Sugarcane
loamy,Kharif,29.96,78.92,160.8,Sugarcane
loamy,Kharif,30.01,84.74,108.19,Sugarcane
alluvial,Kharif,27.27,84.98,135.98,Sugarcane
loamy,Kharif,33.48,62.17,169.22,Sugarcane
alluvial,Kharif,32.53,65.92,164.86,Sugarcane
loamy,Kharif,33.47,75.26,134.25,Sugarcane
alluvial,Kharif,32.63,80.34,164.44,Sugarcane
loamy,Kharif,29.86,74.92,113.47,Sugarcane
loamy,Kharif,27.18,66.68,168.64,Sugarcane
alluvial,Kharif,25.49,78.75,132.93,Sugarcane
alluvial,Kharif,34.92,81.68,110.15,Sugarcane
alluvial,Kharif,26.75,77.78,166.28,Sugarcane
loamy,Kharif,29.38,74.44,121.5,Sugarcane
loamy,Kharif,28.13,61.89,163.57,Sugarcane
alluvial,Kharif,28.43,78.75,155.58,Sugarcane
loamy,Kharif,29.0,72.2,146.56,Sugarcane
alluvial,Kharif,32.04,71.46,153.13,Sugarcane
loamy,Kharif,33.35,79.89,131.82,Sugarcane
loamy,Kharif,33.07,72.37,125.83,Sugarcane
loamy,Kharif,27.72,74.45,145.29,Sugarcane
loamy,Kharif,32.67,82.35,160.98,Sugarcane
alluvial,Kharif,25.1,79.6,136.77,Sugarcane
alluvial,Kharif,34.22,63.95,136.52,Sugarcane
loamy,Kharif,26.23,77.21,110.55,Sugarcane
loamy,Kharif,25.75,83.32,121.92,Sugarcane
loamy,Kharif,26.75,69.3,172.3,Sugarcane
alluvial,Kharif,24.57,75.64,158.08,Sugarcane
alluvial,Kharif,28.72,62.28,107.61,Sugarcane
alluvial,Kharif,29.24,63.32,118.1,Sugarcane
loamy,Kharif,24.1,77.39,165.37,Sugarcane
loamy,Kharif,31.63,71.94,118.32,Sugarcane
alluvial,Kharif,32.04,62.56,125.07,Sugarcane
loamy,Kharif,25.51,79.34,160.25,Sugarcane
alluvial,Kharif,31.06,76.93,105.47,Sugarcane
alluvial,Kharif,30.71,64.1,128.1,Sugarcane
alluvial,Kharif,30.91,63.78,132.94,Sugarcane
loamy,Kharif,33.46,62.17,108.04,Sugarcane
alluvial,Kharif,30.49,69.6,177.06,Sugarcane
loamy,Kharif,32.7,66.19,151.57,Sugarcane
alluvial,Kharif,30.09,75.0,148.61,Sugarcane
alluvial,Kharif,33.33,76.46,124.13,Sugarcane
alluvial,Kharif,32.23,67.39,104.37,Sugarcane
alluvial,Kharif,29.44,62.82,139.97,Sugarcane
alluvial,Kharif,29.81,84.44,178.95,Sugarcane
loamy,Kharif,25.45,81.52,145.47,Sugarcane
loamy,Kharif,30.01,64.32,137.68,Sugarcane
alluvial,Kharif,24.18,61.69,120.97,Sugarcane
alluvial,Kharif,34.15,83.72,131.84,Sugarcane
loamy,Kharif,30.91,72.53,133.23,Sugarcane
loamy,Kharif,24.91,73.41,149.28,Sugarcane
loamy,Kharif,24.92,61.98,173.67,Sugarcane
alluvial,Kharif,29.9,69.77,150.74,Sugarcane
alluvial,Kharif,27.41,70.94,176.27,Sugarcane
alluvial,Kharif,24.64,62.16,134.76,Sugarcane
loamy,Kharif,30.74,61.38,153.29,Sugarcane
alluvial,Kharif,25.31,77.7,156.12,Sugarcane
alluvial,Kharif,29.46,68.67,141.38,Sugarcane
loamy,Kharif,25.84,63.17,162.49,Sugarcane
loamy,Kharif,32.06,62.95,171.99,Sugarcane
loamy,Kharif,32.88,66.8,105.11,Sugarcane
alluvial,Kharif,29.46,72.77,104.44,Sugarcane
alluvial,Kharif,28.04,66.38,108.23,Sugarcane
alluvial,Kharif,26.51,72.72,103.52,Sugarcane
alluvial,Kharif,26.69,71.79,130.64,Sugarcane
alluvial,Kharif,25.97,84.01,102.83,Sugarcane
loamy,Kharif,26.47,66.21,173.27,Sugarcane
loamy,Kharif,26.98,61.95,129.82,Sugarcane
alluvial,Kharif,25.97,80.11,178.51,Sugarcane
loamy,Kharif,24.76,71.63,122.58,Sugarcane
loamy,Kharif,27.6,73.83,100.64,Sugarcane
alluvial,Kharif,27.21,79.61,159.17,Sugarcane
alluvial,Kharif,29.1,74.79,139.47,Sugarcane
alluvial,Kharif,32.06,73.66,163.68,Sugarcane
alluvial,Kharif,24.07,70.25,118.64,Sugarcane
loamy,Kharif,31.0,77.34,100.77,Sugarcane
loamy,Kharif,24.02,76.43,167.92,Sugarcane
loamy,Kharif,25.14,73.25,119.05,Sugarcane
loamy,Kharif,34.57,84.31,111.39,Sugarcane
loamy,Kharif,25.02,83.03,171.78,Sugarcane
loamy,Kharif,31.71,69.31,177.96,Sugarcane
alluvial,Kharif,30.39,72.64,150.98,Sugarcane
loamy,Kharif,24.82,74.2,134.8,Sugarcane
alluvial,Kharif,26.6,66.52,125.2,Sugarcane
loamy,Kharif,31.71,78.38,125.44,Sugarcane
loamy,Kharif,26.57,83.59,110.89,Sugarcane
alluvial,Kharif,25.71,64.11,137.28,Sugarcane
loamy,Kharif,25.33,68.96,161.63,Sugarcane
loamy,Kharif,27.39,66.63,109.59,Sugarcane
alluvial,Kharif,32.88,67.61,156.38,Sugarcane
alluvial,Kharif,26.37,81.41,111.87,Sugarcane
alluvial,Kharif,34.65,69.91,103.92,Sugarcane
loamy,Kharif,26.86,84.77,102.49,Sugarcane
loamy,Kharif,33.4,73.9,144.01,Sugarcane
alluvial,Kharif,29.08,80.1,111.18,Sugarcane
alluvial,Kharif,24.68,79.52,117.78,Sugarcane
alluvial,Kharif,33.06,69.31,150.42,Sugarcane
alluvial,Kharif,30.41,66.47,165.02,Sugarcane
alluvial,Kharif,34.97,64.94,151.68,Sugarcane
alluvial,Kharif,25.01,81.18,164.71,Sugarcane
alluvial,Kharif,24.47,71.52,113.44,Sugarcane
loamy,Kharif,33.04,69.87,102.36,Sugarcane
loamy,Kharif,25.9,65.37,114.97,Sugarcane
loamy,Kharif,28.91,63.72,149.13,Sugarcane
alluvial,Kharif,31.12,72.47,170.62,Sugarcane
loamy,Kharif,24.67,66.99,110.98,Sugarcane
loamy,Kharif,27.14,75.94,104.95,Turmeric
loamy,Kharif,29.92,75.64,111.55,Turmeric
loamy,Kharif,24.75,71.31,109.3,Turmeric
loamy,Kharif,23.44,66.38,103.14,Turmeric
loamy,Kharif,22.47,79.83,121.77,Turmeric
loamy,Kharif,29.79,62.0,129.41,Turmeric
loamy,Kharif,26.27,75.82,134.22,Turmeric
loamy,Kharif,26.61,79.65,113.31,Turmeric
loamy,Kharif,23.41,71.85,138.37,Turmeric
loamy,Kharif,29.31,60.56,132.03,Turmeric
loamy,Kharif,26.5,63.76,149.28,Turmeric
loamy,Kharif,26.34,63.51,92.28,Turmeric
loamy,Kharif,23.86,64.38,121.59,Turmeric
loamy,Kharif,24.65,72.28,138.39,Turmeric
loamy,Kharif,27.74,78.38,140.66,Turmeric
loamy,Kharif,22.48,62.95,132.28,Turmeric
loamy,Kharif,28.19,76.93,141.64,Turmeric
loamy,Kharif,24.99,78.84,113.74,Turmeric
loamy,Kharif,24.69,66.45,148.55,Turmeric
loamy,Kharif,28.33,79.21,128.95,Turmeric
loamy,Kharif,27.66,71.24,143.38,Turmeric
loamy,Kharif,23.79,71.78,100.52,Turmeric
loamy,Kharif,27.87,65.89,100.66,Turmeric
loamy,Kharif,29.59,78.97,113.5,Turmeric
loamy,Kharif,23.46,66.36,138.53,Turmeric
loamy,Kharif,27.12,62.08,119.77,Turmeric
loamy,Kharif,27.96,64.76,148.94,Turmeric
loamy,Kharif,27.09,79.26,139.3,Turmeric
loamy,Kharif,25.57,65.3,104.97,Turmeric
loamy,Kharif,24.8,75.74,133.22,Turmeric
loamy,Kharif,25.09,74.65,148.15,Turmeric
loamy,Kharif,25.94,67.57,122.76,Turmeric
loamy,Kharif,28.63,75.77,124.68,Turmeric
loamy,Kharif,23.3,61.47,140.75,Turmeric
loamy,Kharif,22.16,65.22,96.28,Turmeric
loamy,Kharif,23.36,67.51,133.92,Turmeric
loamy,Kharif,24.7,79.71,143.59,Turmeric
loamy,Kharif,25.45,73.07,126.44,Turmeric
loamy,Kharif,23.26,62.03,102.33,Turmeric
loamy,Kharif,25.27,71.08,145.53,Turmeric
loamy,Kharif,27.28,65.95,95.75,Turmeric
loamy,Kharif,26.57,76.8,99.22,Turmeric
loamy,Kharif,22.03,61.75,139.43,Turmeric
loamy,Kharif,23.6,60.51,100.25,Turmeric
loamy,Kharif,29.82,69.47,96.93,Turmeric
loamy,Kharif,25.77,77.9,105.9,Turmeric
loamy,Kharif,23.48,77.71,112.16,Turmeric
loamy,Kharif,22.36,68.79,105.8,Turmeric
loamy,Kharif,26.51,63.02,131.79,Turmeric
loamy,Kharif,22.69,66.88,122.49,Turmeric
loamy,Kharif,26.43,76.82,139.1,Turmeric
loamy,Kharif,29.73,73.74,146.18,Turmeric
loamy,Kharif,25.81,61.58,144.17,Turmeric
loamy,Kharif,26.02,78.01,138.03,Turmeric
loamy,Kharif,22.96,75.14,100.37,Turmeric
loamy,Kharif,29.78,76.17,97.57,Turmeric
loamy,Kharif,22.63,73.66,102.12,Turmeric
loamy,Kharif,28.67,65.16,144.65,Turmeric
loamy,Kharif,22.7,71.13,123.12,Turmeric
loamy,Kharif,26.16,78.34,90.74,Turmeric
loamy,Kharif,22.9,62.99,124.0,Turmeric
loamy,Kharif,29.4,71.25,96.06,Turmeric
loamy,Kharif,28.94,77.6,142.67,Turmeric
loamy,Kharif,25.06,69.71,126.54,Turmeric
loamy,Kharif,23.38,68.06,127.09,Turmeric
loamy,Kharif,22.31,77.79,109.89,Turmeric
loamy,Kharif,22.39,69.5,106.12,Turmeric
loamy,Kharif,22.16,76.35,108.18,Turmeric
loamy,Kharif,28.74,77.16,131.09,Turmeric
loamy,Kharif,23.08,79.48,116.59,Turmeric
loamy,Kharif,24.16,68.34,128.73,Turmeric
loamy,Kharif,25.53,78.27,114.43,Turmeric
loamy,Kharif,28.08,77.34,139.26,Turmeric
loamy,Kharif,22.52,74.19,114.2,Turmeric
loamy,Kharif,23.39,77.5,102.04,Turmeric
loamy,Kharif,24.0,69.13,145.08,Turmeric
loamy,Kharif,24.19,76.47,120.31,Turmeric
loamy,Kharif,27.45,64.84,119.33,Turmeric
loamy,Kharif,23.42,77.41,125.21,Turmeric
loamy,Kharif,24.75,76.75,105.52,Turmeric
loamy,Kharif,24.28,67.73,99.77,Turmeric
loamy,Kharif,28.86,72.95,130.66,Turmeric
loamy,Kharif,27.21,70.27,141.88,Turmeric
loamy,Kharif,25.79,62.65,100.39,Turmeric
loamy,Kharif,23.79,72.17,146.58,Turmeric
loamy,Kharif,25.39,67.53,110.92,Turmeric
loamy,Kharif,23.75,66.04,121.24,Turmeric
loamy,Kharif,26.68,60.15,149.97,Turmeric
loamy,Kharif,26.49,71.88,106.96,Turmeric
loamy,Kharif,25.85,66.73,106.59,Turmeric
loamy,Kharif,28.89,65.22,132.67,Turmeric
loamy,Kharif,23.51,70.35,104.42,Turmeric
loamy,Kharif,28.44,76.05,126.0,Turmeric
loamy,Kharif,27.45,74.43,129.32,Turmeric
loamy,Kharif,24.08,68.37,113.3,Turmeric
loamy,Kharif,26.66,79.9,138.96,Turmeric
loamy,Kharif,27.81,64.45,122.08,Turmeric
loamy,Kharif,29.25,73.44,120.44,Turmeric
loamy,Kharif,28.73,77.53,100.87,Turmeric
loamy,Kharif,25.77,74.82,133.51,Turmeric
loamy,Kharif,29.58,77.99,129.27,Turmeric
loamy,Kharif,24.84,74.88,108.43,Turmeric
loamy,Kharif,24.97,71.71,117.83,Turmeric
loamy,Kharif,25.76,77.33,125.01,Turmeric
loamy,Kharif,25.78,63.89,97.19,Turmeric
loamy,Kharif,26.24,68.26,142.25,Turmeric
loamy,Kharif,23.1,64.01,114.55,Turmeric
loamy,Kharif,23.15,77.25,100.82,Turmeric
loamy,Kharif,25.9,72.62,100.61,Turmeric
loamy,Kharif,22.04,65.47,135.67,Turmeric
loamy,Kharif,26.61,63.17,137.11,Turmeric
loamy,Kharif,23.04,68.67,115.76,Turmeric
loamy,Kharif,29.72,67.67,92.26,Turmeric
loamy,Kharif,27.85,79.0,143.52,Turmeric
loamy,Kharif,22.14,60.08,134.02,Turmeric
loamy,Kharif,27.55,66.89,97.74,Turmeric
loamy,Kharif,26.03,66.12,93.92,Turmeric
loamy,Kharif,24.39,65.82,133.67,Turmeric
loamy,Kharif,25.47,73.74,98.03,Turmeric
loamy,Kharif,24.87,63.77,146.89,Turmeric
clay,Kharif,25.13,78.36,228.49,Paddy
clay,Kharif,30.14,83.85,146.9,Paddy
clay,Kharif,29.98,86.88,167.52,Paddy
clay,Kharif,30.4,84.35,189.39,Paddy
clay,Kharif,29.63,84.8,131.97,Paddy
clay,Kharif,27.92,80.7,184.73,Paddy
clay,Kharif,29.91,78.08,198.57,Paddy
clay,Kharif,27.11,84.92,196.25,Paddy
clay,Kharif,29.36,85.51,171.88,Paddy
clay,Kharif,28.58,84.27,158.27,Paddy
clay,Kharif,28.48,84.14,207.8,Paddy
clay,Kharif,27.51,81.15,146.04,Paddy
clay,Kharif,31.37,85.32,178.07,Paddy
clay,Kharif,25.02,85.07,220.69,Paddy
clay,Kharif,26.04,76.35,181.17,Paddy
clay,Kharif,31.33,84.67,175.68,Paddy
clay,Kharif,26.85,75.75,211.32,Paddy
clay,Kharif,30.97,80.4,197.68,Paddy
clay,Kharif,30.17,76.42,205.82,Paddy
clay,Kharif,25.07,77.08,194.72,Paddy
clay,Kharif,27.5,81.57,192.18,Paddy
clay,Kharif,27.61,80.14,141.38,Paddy
clay,Kharif,31.74,79.08,168.57,Paddy
clay,Kharif,30.6,84.73,209.69,Paddy
clay,Kharif,25.93,85.9,228.16,Paddy
clay,Kharif,25.73,88.67,178.27,Paddy
clay,Kharif,26.27,80.7,165.86,Paddy
clay,Kharif,31.04,88.2,202.73,Paddy
clay,Kharif,28.38,82.32,218.76,Paddy
clay,Kharif,25.32,78.92,161.42,Paddy
clay,Kharif,31.85,85.05,163.83,Paddy
clay,Kharif,28.03,85.9,178.19,Paddy
clay,Kharif,26.04,87.4,219.21,Paddy
clay,Kharif,25.08,89.02,180.56,Paddy
clay,Kharif,30.96,88.04,137.49,Paddy
clay,Kharif,27.24,79.96,157.82,Paddy
clay,Kharif,28.85,80.68,211.71,Paddy
clay,Kharif,28.21,87.02,174.81,Paddy
clay,Kharif,28.13,76.78,179.74,Paddy
clay,Kharif,25.72,81.19,185.71,Paddy
clay,Kharif,30.78,86.88,226.32,Paddy
clay,Kharif,31.23,83.43,195.46,Paddy
clay,Kharif,31.65,80.45,135.43,Paddy
clay,Kharif,30.91,79.98,206.74,Paddy
clay,Kharif,30.02,80.45,175.25,Paddy
clay,Kharif,30.32,78.33,164.14,Paddy
clay,Kharif,28.83,80.61,140.63,Paddy
clay,Kharif,28.45,87.33,204.25,Paddy
clay,Kharif,25.75,84.16,148.75,Paddy
clay,Kharif,26.51,87.37,149.06,Paddy
clay,Kharif,25.75,81.22,222.66,Paddy
clay,Kharif,30.41,81.76,195.85,Paddy
clay,Kharif,31.75,75.07,203.62,Paddy
clay,Kharif,30.87,82.24,180.83,Paddy
clay,Kharif,29.84,77.6,211.52,Paddy
clay,Kharif,27.71,84.01,218.27,Paddy
clay,Kharif,27.93,84.13,199.25,Paddy
clay,Kharif,26.92,89.45,227.05,Paddy
clay,Kharif,30.63,77.07,190.25,Paddy
clay,Kharif,30.9,83.22,161.39,Paddy
clay,Kharif,26.41,84.36,159.06,Paddy
clay,Kharif,31.45,76.99,201.04,Paddy
clay,Kharif,28.53,85.41,162.24,Paddy
clay,Kharif,30.33,83.43,188.28,Paddy
clay,Kharif,29.72,88.41,183.39,Paddy
clay,Kharif,30.66,82.84,132.53,Paddy
clay,Kharif,25.37,75.85,156.7,Paddy
clay,Kharif,31.88,85.25,144.64,Paddy
clay,Kharif,29.83,79.43,205.36,Paddy
clay,Kharif,27.51,81.79,191.61,Paddy
clay,Kharif,30.2,83.42,153.76,Paddy
clay,Kharif,29.85,75.7,168.16,Paddy
clay,Kharif,31.7,89.64,161.27,Paddy
clay,Kharif,25.09,78.77,192.06,Paddy
clay,Kharif,30.81,88.67,200.46,Paddy
clay,Kharif,30.29,83.2,190.34,Paddy
clay,Kharif,27.06,77.66,198.27,Paddy
clay,Kharif,31.74,86.03,141.94,Paddy
clay,Kharif,28.0,83.35,143.01,Paddy
clay,Kharif,25.04,81.99,223.75,Paddy
clay,Kharif,26.08,79.84,135.09,Paddy
clay,Kharif,28.43,83.59,165.81,Paddy
clay,Kharif,28.68,89.35,182.06,Paddy
clay,Kharif,27.91,83.06,139.19,Paddy
clay,Kharif,31.18,84.95,163.11,Paddy
clay,Kharif,26.53,86.29,183.05,Paddy
clay,Kharif,25.8,80.19,154.03,Paddy
clay,Kharif,31.71,85.24,162.09,Paddy
clay,Kharif,27.7,83.1,158.28,Paddy
clay,Kharif,28.6,82.63,178.68,Paddy
clay,Kharif,31.29,77.89,181.39,Paddy
clay,Kharif,26.17,89.34,183.8,Paddy
clay,Kharif,29.39,78.16,192.95,Paddy
clay,Kharif,31.05,81.36,140.39,Paddy
clay,Kharif,29.53,89.1,204.69,Paddy
clay,Kharif,25.17,85.75,133.79,Paddy
clay,Kharif,25.38,86.91,185.81,Paddy
clay,Kharif,31.38,81.11,175.11,Paddy
clay,Kharif,28.03,75.25,197.33,Paddy
clay,Kharif,29.49,84.28,205.6,Paddy
clay,Kharif,29.91,76.09,222.8,Paddy
clay,Kharif,27.03,85.29,190.66,Paddy
clay,Kharif,30.36,81.57,169.51,Paddy
clay,Kharif,28.32,83.0,143.64,Paddy
clay,Kharif,30.58,87.74,159.5,Paddy
clay,Kharif,27.09,88.3,226.54,Paddy
clay,Kharif,31.7,75.17,217.48,Paddy
clay,Kharif,25.86,75.08,189.67,Paddy
clay,Kharif,27.13,86.22,220.35,Paddy
clay,Kharif,26.48,88.58,215.15,Paddy
clay,Kharif,26.13,78.31,213.47,Paddy
clay,Kharif,25.8,85.06,186.73,Paddy
clay,Kharif,30.96,88.99,229.43,Paddy
clay,Kharif,29.51,76.1,197.17,Paddy
clay,Kharif,25.69,85.88,178.72,Paddy
clay,Kharif,27.5,85.07,153.45,Paddy
clay,Kharif,29.34,88.5,161.78,Paddy
clay,Kharif,27.3,84.89,199.35,Paddy
clay,Kharif,28.96,80.47,161.63,Paddy
clay,Kharif,26.18,79.7,208.57,Paddy
alluvial,Rabi,17.77,47.19,67.18,Wheat
alluvial,Rabi,23.78,49.26,54.35,Wheat
alluvial,Rabi,19.87,42.18,65.82,Wheat
loamy,Rabi,23.42,57.17,45.6,Wheat
loamy,Rabi,17.63,57.73,43.06,Wheat
loamy,Rabi,23.92,56.99,65.27,Wheat
alluvial,Rabi,22.69,44.26,41.47,Wheat
alluvial,Rabi,20.43,59.97,58.88,Wheat
loamy,Rabi,18.66,44.47,70.89,Wheat
alluvial,Rabi,16.34,50.02,43.62,Wheat
alluvial,Rabi,20.02,53.25,73.92,Wheat
loamy,Rabi,22.57,42.81,46.37,Wheat
loamy,Rabi,22.36,49.67,54.35,Wheat
loamy,Rabi,22.61,44.63,50.57,Wheat
loamy,Rabi,15.43,44.14,76.31,Wheat
alluvial,Rabi,18.88,58.36,75.26,Wheat
loamy,Rabi,24.81,46.48,68.15,Wheat
alluvial,Rabi,23.35,45.27,61.77,Wheat
loamy,Rabi,18.77,47.57,63.51,Wheat
loamy,Rabi,20.17,47.53,76.29,Wheat
alluvial,Rabi,18.53,57.35,59.47,Wheat
alluvial,Rabi,23.87,40.13,75.28,Wheat
alluvial,Rabi,16.66,41.54,65.74,Wheat
loamy,Rabi,16.5,43.15,64.08,Wheat
loamy,Rabi,21.61,48.29,53.21,Wheat
loamy,Rabi,19.82,49.58,48.43,Wheat
loamy,Rabi,21.47,48.22,49.75,Wheat
loamy,Rabi,20.73,43.22,65.18,Wheat
loamy,Rabi,23.91,42.94,46.65,Wheat
loamy,Rabi,20.17,48.11,78.77,Wheat
loamy,Rabi,23.79,54.56,72.85,Wheat
loamy,Rabi,17.17,52.13,58.86,Wheat
alluvial,Rabi,16.71,56.61,64.03,Wheat
loamy,Rabi,21.23,50.22,46.71,Wheat
alluvial,Rabi,24.22,51.93,42.75,Wheat
alluvial,Rabi,18.85,42.17,48.09,Wheat
alluvial,Rabi,23.27,52.11,47.1,Wheat
loamy,Rabi,23.78,50.63,70.1,Wheat
loamy,Rabi,19.82,42.61,64.14,Wheat
loamy,Rabi,23.97,55.5,65.97,Wheat
alluvial,Rabi,18.7,40.87,61.19,Wheat
loamy,Rabi,24.38,49.64,70.75,Wheat
alluvial,Rabi,20.89,54.83,70.46,Wheat
loamy,Rabi,19.25,45.09,70.63,Wheat
loamy,Rabi,17.83,57.54,56.35,Wheat
loamy,Rabi,15.05,54.87,40.28,Wheat
loamy,Rabi,20.2,47.5,48.22,Wheat
alluvial,Rabi,19.09,42.13,57.04,Wheat
alluvial,Rabi,17.61,50.72,62.59,Wheat
alluvial,Rabi,24.92,47.95,48.15,Wheat
alluvial,Rabi,16.79,51.18,59.35,Wheat
alluvial,Rabi,20.78,55.48,55.93,Wheat
loamy,Rabi,23.55,53.19,69.91,Wheat
alluvial,Rabi,22.83,58.98,44.01,Wheat
alluvial,Rabi,22.86,56.02,64.56,Wheat
loamy,Rabi,16.61,59.29,40.21,Wheat
loamy,Rabi,23.23,49.43,64.01,Wheat
loamy,Rabi,15.64,44.44,43.2,Wheat
loamy,Rabi,22.24,58.61,56.03,Wheat
alluvial,Rabi,22.12,51.95,77.83,Wheat
loamy,Rabi,21.4,48.78,48.07,Wheat
alluvial,Rabi,16.95,55.68,60.42,Wheat
loamy,Rabi,21.15,53.48,54.39,Wheat
loamy,Rabi,24.76,41.74,51.04,Wheat
alluvial,Rabi,18.53,47.9,63.44,Wheat
loamy,Rabi,22.37,41.37,43.61,Wheat
alluvial,Rabi,22.26,51.18,63.32,Wheat
alluvial,Rabi,24.63,45.53,64.25,Wheat
loamy,Rabi,19.55,48.08,40.19,Wheat
loamy,Rabi,19.07,42.13,42.9,Wheat
alluvial,Rabi,18.4,42.34,60.53,Wheat
alluvial,Rabi,23.76,56.26,63.0,Wheat
alluvial,Rabi,24.66,51.26,70.8,Wheat
alluvial,Rabi,24.61,49.18,58.43,Wheat
loamy,Rabi,19.82,45.16,55.31,Wheat
loamy,Rabi,21.77,44.6,52.63,Wheat
alluvial,Rabi,20.17,40.19,73.29,Wheat
loamy,Rabi,17.87,47.98,69.95,Wheat
alluvial,Rabi,15.76,58.63,59.06,Wheat
alluvial,Rabi,17.19,51.47,47.31,Wheat
loamy,Rabi,19.99,43.99,69.42,Wheat
alluvial,Rabi,17.07,44.06,49.99,Wheat
alluvial,Rabi,16.56,42.13,76.81,Wheat
alluvial,Rabi,21.14,55.28,61.66,Wheat
loamy,Rabi,23.48,47.42,52.62,Wheat
alluvial,Rabi,19.91,59.69,76.64,Wheat
alluvial,Rabi,18.98,55.0,45.13,Wheat
alluvial,Rabi,19.78,50.82,60.1,Wheat
alluvial,Rabi,23.6,55.52,58.29,Wheat
loamy,Rabi,21.98,49.2,67.57,Wheat
loamy,Rabi,21.74,47.59,44.03,Wheat
alluvial,Rabi,21.13,45.19,61.94,Wheat
loamy,Rabi,17.69,59.17,53.72,Wheat
loamy,Rabi,19.99,44.21,68.03,Wheat
alluvial,Rabi,18.65,48.01,58.03,Wheat
loamy,Rabi,24.79,53.72,72.57,Wheat
alluvial,Rabi,23.04,51.11,74.25,Wheat
loamy,Rabi,16.46,59.18,45.98,Wheat
loamy,Rabi,16.77,49.99,79.82,Wheat
alluvial,Rabi,22.85,46.0,62.49,Wheat
loamy,Rabi,18.98,53.81,42.4,Wheat
alluvial,Rabi,19.77,52.6,57.99,Wheat
alluvial,Rabi,17.6,47.21,62.3,Wheat
alluvial,Rabi,18.44,48.24,54.04,Wheat
loamy,Rabi,20.77,53.0,61.54,Wheat
alluvial,Rabi,18.55,53.46,59.5,Wheat
alluvial,Rabi,23.9,47.62,51.46,Wheat
loamy,Rabi,23.68,52.81,77.14,Wheat
alluvial,Rabi,21.31,51.43,73.96,Wheat
loamy,Rabi,15.79,46.87,52.54,Wheat
alluvial,Rabi,22.1,52.11,55.82,Wheat
alluvial,Rabi,22.81,58.78,69.92,Wheat
alluvial,Rabi,19.14,43.68,40.92,Wheat
loamy,Rabi,21.62,58.81,68.03,Wheat
loamy,Rabi,17.11,47.94,43.82,Wheat
